property_name,room_count,room_type,city,country,locality,state
OYO Premium Cochin Airport,0,Standard Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Rasika Renaissance,35,Executive AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Gautam Guest House,9,Standard Room,Khajjiar,INDIA,Khajjiar,HimachalPradesh
Kochi Marriott Hotel,274,Deluxe Room,Kochi,INDIA,Kalamassery,Kerala
Hotel Astoria,26,Double Room,Kodaikanal,INDIA,Annasalai,TamilNadu
Pepper Route,10,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Premium Narakathara Road,15,Standard Room,Kochi,INDIA,MG Road,Kerala
Park Royale,25,Deluxe Room AC,Kochi,INDIA,MG Road,Kerala
Medows Regency - Airport Hotel,28,Deluxe AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Radisson Jass Hotel,90,Deluxe Room,Khajuraho,INDIA,District Chhatarpur,MadhyaPradesh
Mount Spice,1,Standard Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
OYO Rooms Near Pitali Chowk Kolhapur,15,Standard Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Athithi Homes,3,Deluxe Room Non AC,Kochi,INDIA,MG Road,Kerala
Little Green Apartment - 401,2,Deluxe Room,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Golden Inn,0,Economy Non AC Room,Kolkata,INDIA,Airport Zone,WestBengal
OYO Rooms City Centre 1,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Hotel La Revival,20,Super Deluxe Room,Khandala,INDIA,Opposite Kamath,Maharashtra
The Peniel Residency,3,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Sapphire Suites,30,Sapphire  Standard,Kolkata,INDIA,Esplanade-New market,WestBengal
The Old Courtyard Hotel,8,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Elite,14,Super Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
ITC Sonar Kolkata,238,Executive Club,Kolkata,INDIA,Science City,WestBengal
Vista Rooms at Varaha Valley,45,Standard Room Non AC,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Mandoli Residency,37,Standard Room Non AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
OYO Rooms Esplanade,15,Standard Room,Kolkata,INDIA,Esplanade-New market,WestBengal
Diphlu River Lodge,12,Luxury Cottages,Kaziranga,INDIA,Kaziranga National Park,Assam
Hotel Paris Residency,12,Deluxe Room,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Sunrise,20,Super Deluxe,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Vesper Guest House,18,Standard Non AC,Kolkata,INDIA,Airport Zone,WestBengal
New Pine Hotel Kausani,90,Super Deluxe Room,Kausani,INDIA,Near Uco Bank - Kausani,Uttaranchal
Hotel Equator Cochin,14,Standard Non AC,Kochi,INDIA,MG Road,Kerala
Wintergreen Waterfront Resort,5,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
Palakal Residency,7,AC Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Palace,32,Standard Non AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Apartments Salt Lake CL Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Geo Holiday Home - Cherai,3,Superior Room,Kochi,INDIA,Cherai Beach,Kerala
Yuvarani Residency,38,Standard Non AC,Kochi,INDIA,MG Road,Kerala
Mareena Regency,33,Standard Non AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Club Mahindra Kodaikanal,11,Superior Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Krishna Airport Hotel,15,1 BHK Airport Suite,Kochi,INDIA,Cochin International Airport,Kerala
Park Plaza Ballygunge,92,Superior,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Mount View,38,Double Room,Katra,INDIA,Jammu Road,JammuandKashmir
OYO Rooms Near Jain Temple Road Khajuraho,15,Standard Room AC,Khajuraho,INDIA,,MadhyaPradesh
Queen's Residency,32,Standard Non AC Room,Kochi,INDIA,MG Road,Kerala
Fort Square Home Stay,5,Deluxe Room AC,Kochi,INDIA,Fort Kochi,Kerala
Oval Retreat Palace,24,Standard A/c Room,Kochi,INDIA,Vyttila,Kerala
OYO Premium Kadamwadi Road,15,Premium Room,Kolhapur,INDIA,,Maharashtra
Airport Mansion - Airport Hotel,6,Deluxe Room,Kochi,INDIA,Cochin International Airport,Kerala
Eurostar Inn,24,Standard Room Non AC,Khajuraho,INDIA,Airport Road Khajuraho,MadhyaPradesh
OYO Apartments Salt Lake CKCL Park,15,Deluxe Room,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Lyla Residency,15,Deluxe Room Two Bed,Kochi,INDIA,MG Road,Kerala
"Hotel Royal Castle, Sangla Valley",17,Standard Room,Kinnaur,INDIA,Kamru,HimachalPradesh
OYO Rooms Ernakulam North Railway Station,15,Standard Room AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
OYO Rooms MG Road North End,15,Standard Room,Kochi,INDIA,MG Road,Kerala
Princess Residency-Airport Hotel,22,Standard Non AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Sky Rathnam Homestay,10,Standard Room AC,Kochi,INDIA,Fort Kochi,Kerala
Hotel Sri Sri Executive,15,Standard Non A/C Room,Kolhapur,INDIA,Kolhapur,Maharashtra
Gama Heritage Residency,25,Deluxe Non AC,Kochi,INDIA,Fort Kochi,Kerala
Riverside Heritage Homestay,4,Deluxe Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Anamitra Guest House,12,Deluxe Room AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Signature Crest Lake View Villa,4,Executive Room,Kochi,INDIA,Kumbalam South,Kerala
Vista Rooms at Fort Kochi Beach,17,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
The Carnival,23,Deluxe,Kodaikanal,INDIA,Naidupuram,TamilNadu
Hotel Inner Tukpa,12,Deluxe Room,Kinnaur,INDIA,Kalpa,HimachalPradesh
Hotel Sham,17,Double Non AC Room,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
Hotel Arya,15,Double Bed Room,Katra,INDIA,Near Banganga,JammuandKashmir
The Villa Romantica - Airport Hotel,4,Deluxe Room with Breakfast,Kochi,INDIA,Cochin International Airport,Kerala
Leisure Vacations Syamantac Villa,12,Deluxe Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Green Lake View Resort,37,Suite Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel Swagath,85,Economy Non AC,Kolkata,INDIA,South Kolkata,WestBengal
The Poovath Heritage Hotel,10,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel AJ International,40,Deluxe Room Non A/C,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel Parul,15,Deluxe Room,Khajjiar,INDIA,Khajjiar,HimachalPradesh
Vista Rooms at Thevara,35,Standard Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Coronet Guest House,9,Baget Non AC,Kolhapur,INDIA,,Maharashtra
The Parrot Serviced Villa,5,Deluxe Villa Two Bed Room,Kochi,INDIA,Vyttila,Kerala
Ecomantras Rivertrail Eco Camp,20,Superior Deluxe 2 Cabin Tent,Kolad,INDIA,Kolad,Maharashtra
Hotel Vidya Residency,19,Deluxe AC Room,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
OYO Rooms International Airport Kolkata,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Mangesh Plaza,18,Executive Non AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Mishra Residency AH 142,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Ramada Khajuraho,82,AC Superior Room,Khajuraho,INDIA,Airport Road Khajuraho,MadhyaPradesh
OYO Rooms Shakespeare Sarani,15,Standard Room AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Mishra Residency BL 78,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Sreeragam Luxury Villa Retreat,6,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
Vista Rooms At Dabholkar Corner,15,Superior Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Syna Heritage Hotel Khajuraho,28,Deluxe,Khajuraho,INDIA,,MadhyaPradesh
Thankam Tourist Home,38,AC Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
STARiHOTELS Kharsia,10,AC Room,Kharsia,INDIA,,Chhattisgarh
Hotel Elegance,34,Deluxe AC,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Archana Inn,9,Standard Non A/C,Kochi,INDIA,MG Road,Kerala
Vista Rooms at Kakkanad,20,Standard Room,Kochi,INDIA,Info Park-Kakkanad,Kerala
Green Dreams,35,Executive Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Prashanti Cottage,6,Double Bed,Kaziranga,INDIA,Kaziranga National Park,Assam
Hotel Hill Palace,25,Deluxe Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Hotel Mount View International,70,Super Deluxe Room,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Sheldon,18,Standard,Kolkata,INDIA,Science City,WestBengal
Ambassador Lodge,21,Double Bed,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Park View Residency,28,Deluxe 2 Bed Room Cottage,Kodaikanal,INDIA,Chettiar Park,TamilNadu
The Peak Resort,26,Deluxe Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Hotel Apple Pie - Kalpa,10,Deluxe Room,Kinnaur,INDIA,Kalpa,HimachalPradesh
Hotel Metropolis Inn,25,Deluxe,Kolkata,INDIA,Science City,WestBengal
Ranjeet Hotel,20,Standard AC Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Oriental,41,Double Occupancy AC Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Rooms Salt Lake Karunamoyee,15,Standard Room,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
The Samilton Hotel,34,Superior Room,Kolkata,INDIA,Sarat Bose Road,WestBengal
Krishna Inn,28,Executive Ac Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Sunrise,42,Standard Non Ac Room,Katra,INDIA,City Bus Terminus,JammuandKashmir
Hotel Aura,17,Studio Room,Kolkata,INDIA,Esplanade-New market,WestBengal
OYO Premium Airport VIP Road Big Bazar,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Ibiza Guest House,8,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Hotel Green View,20,Executive Room,Kolkata,INDIA,Parkcircus Area,WestBengal
Budget hotel,27,Bugdet Room,Khammam,INDIA,Gandhi Chowk,AndhraPradesh
The Dunes,72,Deluxe Room,Kochi,INDIA,MG Road,Kerala
Hotel Pearl,29,Non AC Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Shree Krishna International,34,Deluxe Room,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Opal,23,Deluxe Room Non AC,Kolhapur,INDIA,Shivaji University,Maharashtra
Hotel Sivapriya,68,Super Deluxe,Kodaikanal,INDIA,Convent Road,TamilNadu
Najima Residency,24,Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
WelcomHotel Khimsar Fort & Dunes- 90 Kms from Jodhpur,83,Preferred Room - Mini Break Package,Khimsar,INDIA,Khimsar,Rajasthan
GG Residency,10,Suite Deluxe,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Villa Retreat,15,Furnished Apartment (2 Bed Room) City View,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel Vrindavan Deluxe,47,Non AC Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Abban Residency,18,Royal Suite,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Hotel Casa Di William Khajuraho,0,AC Room,Khajuraho,INDIA,Opposite Circuit House,MadhyaPradesh
Mamma Mia The Boutique Hotel,5,Suite,Kochi,INDIA,Info Park-Kakkanad,Kerala
Hotel Pan Asia International,0,Royale Room,Kolkata,INDIA,Sarat Bose Road,WestBengal
Quality Airport Hotel,22,Deluxe Room,Kochi,INDIA,Cochin International Airport,Kerala
Jispa Journeys Camp,4,Deluxe Tent,Keylong,INDIA,Gompa Road,HimachalPradesh
The Woods Manor MG Road,55,Kerala Room,Kochi,INDIA,MG Road,Kerala
OYO Rooms Park Street Mullick Bazar,15,Standard Room AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Himalaya Mount View Resort,22,Deluxe Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Kurinji Hammock,1,Standard Cottage,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Hotel Seven Roads Grand Inn,11,Deluxe Room,Kodaikanal,INDIA,Annasalai,TamilNadu
Hotel Shila International,0,Super Deluxe,Kolkata,INDIA,Minto Park Area,WestBengal
Hotel Clarks Khajuraho,104,Deluxe Room,Khajuraho,INDIA,Opposite Circuit House,MadhyaPradesh
Ben's Homestay,3,Deluxe AC Room,Kochi,INDIA,Kalamassery,Kerala
Town Country Guest House,13,Classic,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Anna Residency - Airport Hotel,14,Standard Room Non AC,Kochi,INDIA,Cochin International Airport,Kerala
Vista Rooms at Thamarparambu School,22,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Santhosh,28,Standard Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Hotel Marina,38,Deluxe Room,Kolkata,INDIA,Ladies Park Area,WestBengal
The Kenilworth Hotel,105,Executive Rooms,Kolkata,INDIA,Maidan Metro Area,WestBengal
Tanzanite Inn,28,Standard Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Hotel N S International,55,Deluxe Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Rooms Dalhousie Waterloo Street,15,Standard Room AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Wood lands Resorts,20,Deluxe Room,Kodaikanal,INDIA,Annasalai,TamilNadu
The Peerless Inn-Sarovar Group Hotel,122,Suite Room,Kolkata,INDIA,Esplanade-New market,WestBengal
OYO Rooms Salt Lake Technopolis,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Greenland Residency,32,Deluxe Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Payal-MPTDC,25,AC Room,Khajuraho,INDIA,Bypass Road,MadhyaPradesh
Ruby Cottage,15,Deluxe Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Saj Earth Resort - Airport Hotel,23,Standard Room,Kochi,INDIA,Cochin International Airport,Kerala
Shalimar Metro,32,Standard Room Non A/C,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Old Harbour Hotel,13,Superior Room,Kochi,INDIA,Fort Kochi,Kerala
IORA-The Retreat,42,Supreme Room,Kaziranga,INDIA,Kaziranga National Park,Assam
Brighton Beach House,5,Non AC Room,Kochi,INDIA,Cherai Beach,Kerala
OYO Premium Alipore,15,Standard Room AC,Kolkata,INDIA,Alipore,WestBengal
Blossom Hotel and Resort,19,Deluxe Room,Kausani,INDIA,Bageshwar-Kausani,Uttaranchal
Hotel Wings Park,12,Executive AC,Kochi,INDIA,Perumbavoor,Kerala
Hotel Kempton,40,Executive Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Paulson Park Hotel,52,Suite AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Kalai,18,Standard Room AC,Kayamkulam,INDIA,Kayamkulam Railway Station,Kerala
ATS Willingdon Hotel,24,Suite Room,Kochi,INDIA,Willingdon Island,Kerala
Bastian Home Stay,4,Double Room Ensuite Bathroom,Kochi,INDIA,Fort Kochi,Kerala
Atlas Airport Hotel Apartments,130,Superior(Silver) Apartment,Kochi,INDIA,Cochin International Airport,Kerala
Raahat Inn,87,Club Suite,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Abad Plaza,80,Superior Room,Kochi,INDIA,MG Road,Kerala
Nenco Island Homestay,3,Deluxe Room,Kochi,INDIA,Vaikom,Kerala
Aroor Residency,20,Deluxe Room,Kochi,INDIA,Kumbalam South,Kerala
Vista Rooms at Chettiar Park Road,27,Standard Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
OYO Rooms Ballygunge Maddox Square,15,Standard Room,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
Janardan Resort Kausani,10,Deluxe Room,Kausani,INDIA,Kausani,Uttaranchal
Jonaki Kareng,9,Deluxe Room,Kaziranga,INDIA,Kaziranga National Park,Assam
Hotel Periyaar - 10 Km From COK Airport,25,Standard Room AC,Kochi,INDIA,Kalamassery,Kerala
Cochin Heritage Hotel,14,Suite Room,Kochi,INDIA,Vyttila,Kerala
OYO Rooms Jessore Road,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Kanshi Vishwanath,20,Double Deluxe Non A/C,Katra,INDIA,Near Banganga,JammuandKashmir
Lake Symphony Resort,6,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
Hotel Chirag International,40,Double Deluxe Room,Katra,INDIA,Jammu Road,JammuandKashmir
OYO Premium Near Tarabai Park Kolhapur,15,Premium Room,Kolhapur,INDIA,,Maharashtra
Golden Tulip Kolkata,55,Deluxe Room,Kolkata,INDIA,Salt Lake City,WestBengal
Vista Rooms at Kadamwadi Road,24,Standard Double,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Treebo Saini Inn,21,Deluxe Room,Kolkata,INDIA,Diamond Harbour Road,WestBengal
Timber Lake Hotel,10,Double Deluxe,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
David Homes,1,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Hilltop View,19,Double Deluxe Non Ac Room,Katra,INDIA,Jammu Katra Highway,JammuandKashmir
Hotel Devi Mahal,37,Double Bed Non Ac,Katra,INDIA,Railway Road,JammuandKashmir
Pine Borough Inn,18,Suite,Kodaikanal,INDIA,Naidupuram,TamilNadu
Abad Atrium,80,Superior Room,Kochi,INDIA,MG Road,Kerala
Hotel Sharda,15,Standard Room Non AC,Khandala,INDIA,Opposite Kamath,Maharashtra
OYO Rooms Rashbehari Avenue Near Triangular Park,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Tantraa Homestay,6,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Rooms Salt Lake BL Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
OYO Rooms Near Azad Chowk Kolhapur,15,Standard Room AC,Kolhapur,INDIA,,Maharashtra
Vista Rooms at Laws Ghat Road,18,Standard Room Non AC,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
The Bungalow Heritage Homestay,2,Room Sao Gabriel,Kochi,INDIA,Vypin Island,Kerala
Hotel Kabani International,29,Suite Room,Kochi,INDIA,Muvattupuzha,Kerala
B' s Hive,5,Terrace Room Superior,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
OYO Rooms Bangur Avenue,10,Standard Room,Kolkata,INDIA,Airport Zone,WestBengal
OYO Premium Elgin Road,0,Premium Room,Kolkata,INDIA,Elgin Zone,WestBengal
Little Green Apartment- Binayak Residency,1,Deluxe Room,Kolkata,INDIA,South Kolkata,WestBengal
Casa Mia Homestay,5,Deluxe AC Room,Kochi,INDIA,Fort Kochi,Kerala
Sapphire Inn - Airport Hotel,22,Deluxe AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Mannat International,32,Standard,Kolkata,INDIA,Parkcircus Area,WestBengal
Megacity Inn,8,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Hotel Green Inn,23,Standard,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hotel Sunnys,18,Standard Room Non AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Olive Regency,28,Deluxe Double Room AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Vista Rooms at Fern Hill Road,32,Standard Room Non AC,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
OYO Rooms Ruby EM By Pass,15,Standard Room AC,Kolkata,INDIA,New Town - Rajarhat,WestBengal
Vista Rooms Near Kolhapur Railway Station,30,Standard Room,Kolhapur,INDIA,Kolhapur,Maharashtra
The Pearl Palace,35,Executive Suite,Kochi,INDIA,MG Road,Kerala
Chevron Mountain Villa,12,Double Room,Kausani,INDIA,View Point,Uttaranchal
Hotel Zen Khajuraho,30,Twin rooms,Khajuraho,INDIA,Temple Road,MadhyaPradesh
Tourist Village-MPTDC,10,AC Room,Khajuraho,INDIA,Sevagram,MadhyaPradesh
Hotel Grand Palace,41,Royal,Kodaikanal,INDIA,Convent Road,TamilNadu
Vrindavan Retreat - Airport Hotel,4,Deluxe Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Sony Palace,28,Executive Rooms (AC),Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Mishra Residency FE 35,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Hotel Rock Star Suites,30,Deluxe Ground Floor Room,Kolkata,INDIA,Maidan Metro Area,WestBengal
Hotel Victoria Inn,25,Deluxe Room,Kolkata,INDIA,Alipore,WestBengal
Jameson Inn Shiraz,46,Standard,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Premium Near Shenoys Theatre MG Road,15,Standard Room,Kochi,INDIA,MG Road,Kerala
Hotel Triund Regency,21,Deluxe Non Ac,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel JC Residency,34,Royal Suite,Kodaikanal,INDIA,Convent Road,TamilNadu
Sunita Himalayan Paradise,16,Deluxe Room,Kausani,INDIA,View Point,Uttaranchal
Sara Hotels And Apartments,20,Standard AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Kundalika Cottages,5,Cottage Four Sharing Room,Kolad,INDIA,Kolad,Maharashtra
Orion Holidays,4,AC Deluxe Room with Balcony,Kochi,INDIA,Fort Kochi,Kerala
The Health Village,24,Deluxe Room AC,Kochi,INDIA,Kalamassery,Kerala
Sunflower Guest House,7,Double AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Rooms Salt Lake Sector V Technopolis,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
The Royale Plaza,0,Non-AC Standard Room,Kayamkulam,INDIA,Kayamkulam Railway Station,Kerala
Hotel Thames International,21,Standard,Kolkata,INDIA,South Kolkata,WestBengal
OYO Premium Santoshpur,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Pushpak International,26,Standard Rooms,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Safeway Leisure Homes,12,1 Bedroom Apartment,Kochi,INDIA,MG Road,Kerala
Hotel Shakuntla,28,Double AC Room,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
Beaumonde The Fern,49,Wintergreen Room,Kochi,INDIA,MG Road,Kerala
The Mercy,60,Suite,Kochi,INDIA,MG Road,Kerala
Spice Fort by Dune Eco Group,26,Pool Side Room,Kochi,INDIA,Fort Kochi,Kerala
New Krishna Palace,15,Super Deluxe,Katra,INDIA,Near Banganga,JammuandKashmir
Hotel Sanjay Palace,18,Double Beded A/C Room,Katra,INDIA,Kashmir Road,JammuandKashmir
Kunnathan Residency,35,Deluxe Room,Kochi,INDIA,Perumbavoor,Kerala
Hotel Mystic Mountain,10,Deluxe Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Hotel Aashritha Kausani,6,Deluxe Room,Kausani,INDIA,View Point,Uttaranchal
OYO Premium MG Road North End,15,Standard Room AC,Kochi,INDIA,MG Road,Kerala
Elephant Valley Eco Farm Hotel,20,Adventure Room,Kodaikanal,INDIA,Attuvampatty,TamilNadu
Treebo Mart View,18,Standard Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Renai Blue Waters Cherai,25,Superior Room,Kochi,INDIA,Cherai Beach,Kerala
Cochin City Residency,16,Executive Room,Kochi,INDIA,MG Road,Kerala
Hotel Park Inn,24,Standard Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
The Markz Inn,42,Standard Room,Kochi,INDIA,Vyttila,Kerala
OYO Rooms Landsdowne Crossing,15,Standard Room AC,Kolkata,INDIA,Elgin Zone,WestBengal
Treebo Ivy Suites,12,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
OYO Apartments New Town Axis Mall,15,Standard Room AC,Kolkata,INDIA,Howrah,WestBengal
Green Forest Resort,12,Deluxe Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
The Avenue Regent,55,Executive Room,Kochi,INDIA,MG Road,Kerala
OYO Rooms Kodaikanal Bus Stand Bazaar Road,15,Standard Room,Kodaikanal,INDIA,Annasalai,TamilNadu
OYO Premium Vytilla Bypass,15,Standard Room AC,Kochi,INDIA,Vyttila,Kerala
Second House,0,Standard Room,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
The Edens Guest House,4,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Dakkhan Lodging,12,AC Deluxe,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Narikulam Tharavad,2,Standard Room,Kochi,INDIA,Vypin Island,Kerala
Kundalika Rafting Camp,20,Luxury Tent,Kolad,INDIA,,Maharashtra
Hotel Kings Katra,26,Sup Dlx A/C Room,Katra,INDIA,City Centre-Main Market,JammuandKashmir
Hotel SMS Residency,27,Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
